building,hour,mean_residual_kwh
Panther_office_Danica,0,-0.0423
Panther_office_Danica,1,-0.0276
Panther_office_Danica,2,-0.07
Panther_office_Danica,3,-0.0998
Panther_office_Danica,4,-0.1505
Panther_office_Danica,5,-0.1236
Panther_office_Danica,6,-0.1432
Panther_office_Danica,7,-0.2367
Panther_office_Danica,8,-0.2155
Panther_office_Danica,9,-0.2257
Panther_office_Danica,10,-0.6142
Panther_office_Danica,11,-0.697
Panther_office_Danica,12,-0.7386
Panther_office_Danica,13,-0.673
Panther_office_Danica,14,-0.5634
Panther_office_Danica,15,-0.4166
Panther_office_Danica,16,-0.4534
Panther_office_Danica,17,-0.3848
Panther_office_Danica,18,-0.188
Panther_office_Danica,19,-0.0292
Panther_office_Danica,20,-0.0278
Panther_office_Danica,21,-0.001
Panther_office_Danica,22,-0.0467
Panther_office_Danica,23,-0.1701
Panther_education_Scarlett,0,-0.1434
Panther_education_Scarlett,1,-0.2499
Panther_education_Scarlett,2,-0.4344
Panther_education_Scarlett,3,-0.4515
Panther_education_Scarlett,4,-0.5892
Panther_education_Scarlett,5,-0.7282
Panther_education_Scarlett,6,-0.8278
Panther_education_Scarlett,7,-1.1837
Panther_education_Scarlett,8,-1.5301
Panther_education_Scarlett,9,-1.7935
Panther_education_Scarlett,10,-1.7541
Panther_education_Scarlett,11,-1.8771
Panther_education_Scarlett,12,-1.9591
Panther_education_Scarlett,13,-1.6253
Panther_education_Scarlett,14,-1.506
Panther_education_Scarlett,15,-1.6525
Panther_education_Scarlett,16,-1.7601
Panther_education_Scarlett,17,-1.4039
Panther_education_Scarlett,18,-0.6778
Panther_education_Scarlett,19,-0.5426
Panther_education_Scarlett,20,0.2388
Panther_education_Scarlett,21,0.1299
Panther_education_Scarlett,22,-0.4958
Panther_education_Scarlett,23,-0.8218
Fox_assembly_Boyce,0,-0.3633
Fox_assembly_Boyce,1,-2.3665
Fox_assembly_Boyce,2,-7.7404
Fox_assembly_Boyce,3,-10.4125
Fox_assembly_Boyce,4,-9.5713
Fox_assembly_Boyce,5,-6.8583
Fox_assembly_Boyce,6,-8.2634
Fox_assembly_Boyce,7,-9.8766
Fox_assembly_Boyce,8,-10.4276
Fox_assembly_Boyce,9,-9.4832
Fox_assembly_Boyce,10,-9.1452
Fox_assembly_Boyce,11,-9.6337
Fox_assembly_Boyce,12,-10.6147
Fox_assembly_Boyce,13,-10.672
Fox_assembly_Boyce,14,-11.9435
Fox_assembly_Boyce,15,-12.8426
Fox_assembly_Boyce,16,-12.8516
Fox_assembly_Boyce,17,-10.5135
Fox_assembly_Boyce,18,-9.5852
Fox_assembly_Boyce,19,-9.5161
