# Part A: Excess CVRMSE Threshold Sweep
threshold_pp,n_ATYPICAL,n_CV_DRIVEN,mean_abs_nmbe_atypical_pct,mean_abs_nmbe_cv_pct,cohens_d,pct_over,pct_under,pct_neutral
3,69,142,4.69,1.3984,0.7368,40.58,14.49,44.93
4,64,147,4.9354,1.4036,0.7957,42.19,15.62,42.19
5,58,153,5.2908,1.4073,0.8833,43.1,17.24,39.66
6,52,159,5.5436,1.4712,0.9281,44.23,17.31,38.46
7,47,164,5.9997,1.4646,1.0468,44.68,19.15,36.17
8,43,168,6.4569,1.4556,1.1702,48.84,20.93,30.23
10,36,175,7.0108,1.5417,1.2858,47.22,22.22,30.56

# Part B: NMBE Direction Threshold Sweep (ATYPICAL n=58 at 5pp)
nmbe_threshold_pct,n_OVER,n_UNDER,n_NEUTRAL,mean_nmbe_pct
1,28,16,14,3.6553
2,25,10,23,3.6553
3,22,5,31,3.6553
5,16,2,40,3.6553

# Part C: Cross-Sensitivity Heatmap (n_OVER)
excess_threshold_pp,n_over_nmbe_1pct,n_over_nmbe_2pct,n_over_nmbe_3pct,n_over_nmbe_5pct
3,34,28,24,16
4,31,27,23,16
5,28,25,22,16
6,26,23,21,15
7,24,21,20,15
8,22,21,20,15
10,17,17,16,13
